ENSG	WT1	WT2	WT3	KO1	KO2	KO3	Symbol
ENSMUSG00000028780	1177	1383	1193	1038	1881	789	Sema3c
ENSMUSG00000034683	1	2	1	3	2	1	Ppp1r1c
ENSMUSG00000034681	1884	1348	1472	1128	1700	1664	Rnps1
ENSMUSG00000026694	597	494	420	429	625	521	Mettl13
ENSMUSG00000034687	414	533	444	284	590	313	Fras1
ENSMUSG00000048368	271	347	201	228	381	109	Omd
ENSMUSG00000088242	1	0	2	0	0	0	Gm25913
ENSMUSG00000028788	6957	4932	4336	3849	6059	4755	Ptp4a2
ENSMUSG00000029788	2	2	1	11	9	4	Cpa5
ENSMUSG00000022205	1439	1311	1162	1714	2600	1295	Sub1
ENSMUSG00000022206	317	465	319	141	223	128	Npr3
ENSMUSG00000022200	3006	2213	2119	1635	2581	2068	Golph3
ENSMUSG00000022201	1889	2079	1608	2012	3263	1646	Zfr
ENSMUSG00000022203	2683	1653	2201	1286	2434	1933	Efs
ENSMUSG00000029780	2146	1894	1496	3200	3964	1310	Nt5c3
ENSMUSG00000029781	3966	3382	2937	2164	3596	3126	Fkbp9
ENSMUSG00000029782	616	637	529	643	914	581	Tmem209
ENSMUSG00000039041	3263	2149	2510	1889	3109	2427	Adrm1
ENSMUSG00000029784	1	1	0	1	0	0	Ssmem1
ENSMUSG00000022209	30	10	7	1	3	3	Dhrs2
ENSMUSG00000029787	500	572	390	644	949	341	Avl9
ENSMUSG00000032501	1455	1175	1008	1267	1440	1045	Trib1
ENSMUSG00000046947	692	450	566	331	564	444	Adck2
ENSMUSG00000035378	126	137	134	144	225	226	Shq1
ENSMUSG00000050328	3	8	2	1	8	0	Hoxc12
ENSMUSG00000038214	529	354	384	260	409	398	Bend3
ENSMUSG00000038215	186	204	156	253	351	141	Cep44
ENSMUSG00000038216	16	4	5	6	6	10	Pnmt
ENSMUSG00000038217	1179	1102	1059	604	832	965	Tlcd2
ENSMUSG00000035372	543	446	390	369	457	445	1810055G02Rik
ENSMUSG00000038213	875	631	708	491	848	670	Tapbpl
ENSMUSG00000035086	1119	1247	900	1226	1846	992	Becn1
ENSMUSG00000072972	25	17	19	20	13	12	Adam4
ENSMUSG00000057116	0	1	1	2	4	1	AF366264
ENSMUSG00000077450	4200	2912	3499	1977	3114	2980	Rab11b
ENSMUSG00000027459	1288	734	803	762	1212	931	Fam110a
ENSMUSG00000057113	3677	4915	3691	8885	12355	4623	Npm1
ENSMUSG00000031782	3530	2382	2687	1196	2092	2083	Coq9
ENSMUSG00000008461	641	486	550	404	652	543	Fut1
ENSMUSG00000028568	1472	1323	1019	1137	1629	938	Btf3l4
ENSMUSG00000023046	2393	1657	1927	850	1089	1440	Igfbp6
ENSMUSG00000023902	1	0	0	0	1	0	Zscan10
ENSMUSG00000069184	18	16	22	28	56	9	Zfp72
ENSMUSG00000028563	539	338	459	241	387	341	Tm2d1
ENSMUSG00000034974	782	525	646	480	781	604	Dapk3
ENSMUSG00000025001	253	425	242	517	775	222	Hells
ENSMUSG00000015869	1363	1005	1062	709	1264	975	Prpsap1
ENSMUSG00000025007	1107	768	922	627	1077	943	Aldh18a1
ENSMUSG00000025006	1411	1157	1061	541	953	750	Sorbs1
ENSMUSG00000028565	1285	955	1061	532	762	722	Nfia
ENSMUSG00000078354	0	0	0	4	2	1	Ifna2
ENSMUSG00000043252	2575	1961	2038	1079	1970	1338	Tmem64
ENSMUSG00000043702	1304	1087	922	1252	1784	1089	Pde12
ENSMUSG00000043251	67	53	48	41	79	46	Exoc3l
ENSMUSG00000064128	75	93	92	151	238	85	Cenpj
ENSMUSG00000048537	2804	2608	2457	1013	1849	1677	Phldb1
ENSMUSG00000046550	8	25	17	11	32	17	Spin2c
ENSMUSG00000052099	20	8	16	10	13	13	Prss51
ENSMUSG00000065090	0	1	0	0	0	0	Gm23677
ENSMUSG00000043259	159	145	150	68	110	106	Fam13c
ENSMUSG00000088479	2	4	3	2	0	0	Gm23077
ENSMUSG00000009894	617	759	747	516	932	814	Snap47
ENSMUSG00000065097	12	18	4	15	16	7	Snora16a
ENSMUSG00000028003	176	226	127	213	267	81	Lrat
ENSMUSG00000066613	245	272	184	342	532	147	Zfp932
ENSMUSG00000013160	3787	2683	3068	2300	3627	2842	Atp6v0d1
ENSMUSG00000025036	783	645	629	447	827	651	Sfxn2
ENSMUSG00000050097	14	15	19	16	11	12	Ces2b
ENSMUSG00000006127	1422	1369	1284	1193	1417	1077	Inpp5k
ENSMUSG00000025037	350	699	425	944	1428	550	Maoa
ENSMUSG00000034175	399	342	363	255	350	273	Rhbdd3
ENSMUSG00000006024	3155	2591	2673	2172	3340	2526	Napa
ENSMUSG00000092837	38	13	36	36	1	45	Rpph1
ENSMUSG00000087776	2	2	3	1	0	0	Gm22322
ENSMUSG00000077980	0	0	1	0	0	0	Mir654
ENSMUSG00000055733	20	26	21	19	23	11	Nap1l3
ENSMUSG00000035885	3730	2264	3485	1982	2779	2752	Cox8a
ENSMUSG00000034177	692	515	605	534	901	654	Rnf43
ENSMUSG00000042073	705	505	628	279	539	431	Abhd14b
ENSMUSG00000087045	1	0	0	0	1	2	4930515B02Rik
ENSMUSG00000083176	1	0	1	0	1	0	D11Bhm181e
ENSMUSG00000042079	5664	5405	4690	5004	7257	6088	Hnrnpf
ENSMUSG00000042078	0	0	0	0	1	0	Svop
ENSMUSG00000014355	2090	2423	2248	2557	3927	2414	Anapc1
ENSMUSG00000073563	897	792	701	1219	1718	822	Csnk1g3
ENSMUSG00000014353	1221	1219	816	1193	1691	780	Tmem87b
ENSMUSG00000064272	2	2	4	4	2	1	Gpbar1
ENSMUSG00000025722	413	392	318	362	554	428	Wdr73
ENSMUSG00000063550	952	904	801	836	1322	1050	Nup98
ENSMUSG00000075297	12	10	23	9	3	7	H60b
ENSMUSG00000032530	2	4	3	3	6	7	Lyzl4
ENSMUSG00000088423	0	1	0	4	2	1	Gm22554
ENSMUSG00000032688	571	627	378	780	1010	396	Malt1
ENSMUSG00000020096	13	6	11	6	7	3	Tbata
ENSMUSG00000017830	68	52	46	197	629	530	Dhx58
ENSMUSG00000032680	4	2	2	2	3	1	6820408C15Rik
ENSMUSG00000075958	0	0	0	0	0	1	Gm23423
ENSMUSG00000009092	19	19	28	18	18	10	Derl3
ENSMUSG00000032352	1234	1197	997	1195	1707	1370	Lrrc1
ENSMUSG00000009090	5582	3682	4248	2881	4860	4278	Ap1b1
ENSMUSG00000032350	1764	1944	1379	1666	2458	1294	Gclc
ENSMUSG00000032356	12	10	10	12	16	7	Rasgrf1
ENSMUSG00000032355	863	766	634	205	347	417	Mlip
ENSMUSG00000044950	525	500	366	427	578	307	Pwwp2a
ENSMUSG00000044951	1314	2436	572	555	672	483	Mylk4
ENSMUSG00000044952	185	120	122	80	158	134	Kctd21
ENSMUSG00000034757	1213	898	998	706	1155	898	Tmub2
ENSMUSG00000037953	86	124	119	49	60	71	A4gnt
ENSMUSG00000026203	1341	1025	1123	792	1381	1053	Dnajb2
ENSMUSG00000020092	772	659	609	366	567	484	Pald1
ENSMUSG00000045980	618	425	540	302	422	476	Tmem104
ENSMUSG00000068587	0	1	0	1	1	1	Mgam
ENSMUSG00000097756	49	45	39	48	40	43	A730056A06Rik
ENSMUSG00000087950	0	0	2	2	2	0	Mir1948
ENSMUSG00000062944	215	191	168	141	236	186	9130023H24Rik
ENSMUSG00000087223	4	0	1	3	0	0	4930442L01Rik
ENSMUSG00000113581	121	101	68	36	86	42	Dio3os
ENSMUSG00000045392	15	10	8	5	17	4	Olfr1033
ENSMUSG00000045394	4565	3700	3613	3290	4525	3138	Epcam
ENSMUSG00000009596	3	0	4	3	0	1	Taf7l
ENSMUSG00000018405	370	267	303	216	322	286	Mrm1
ENSMUSG00000018401	1444	1400	1239	1126	2058	1450	Mtmr4
ENSMUSG00000017713	81	59	65	24	55	37	Tha1
ENSMUSG00000045631	4	2	4	11	9	4	Tmprss12
ENSMUSG00000017716	610	347	596	404	732	687	Birc5
ENSMUSG00000017715	1733	1374	1297	1110	1893	1292	Pgs1
ENSMUSG00000032537	852	659	624	1760	2537	1556	Ephb1
ENSMUSG00000032536	4790	3468	3134	2274	3716	2940	Trak1
ENSMUSG00000021782	1553	1249	1340	883	1527	1147	Dlg5
ENSMUSG00000074183	299	190	114	471	718	418	Gsta1
ENSMUSG00000021832	1240	1294	1131	2252	3402	1010	Psmc6
ENSMUSG00000021785	648	734	557	778	1097	488	Ngly1
ENSMUSG00000021786	339	344	256	269	348	318	Oxsm
ENSMUSG00000028957	1015	3013	531	1370	1625	424	Per3
ENSMUSG00000039682	4182	4823	4241	3116	5299	3475	Lap3
ENSMUSG00000021838	757	694	609	227	550	428	Samd4
ENSMUSG00000024991	3965	4370	5393	8372	13063	6282	Eif3a
ENSMUSG00000028955	2543	2543	2148	2425	3881	2597	Vamp3
ENSMUSG00000062609	447	421	323	330	313	294	Kcnj15
ENSMUSG00000086796	20	16	14	13	19	10	4932702P03Rik
ENSMUSG00000027111	5181	4651	3636	4595	7128	4923	Itga6
ENSMUSG00000062604	1909	2021	1527	2178	2962	1453	Srpk2
ENSMUSG00000086799	3	2	4	1	1	2	4930502E09Rik
ENSMUSG00000073234	8	1	1	1	2	0	Gm8773
ENSMUSG00000019578	2085	1537	1668	1308	1891	1361	Ubxn6
ENSMUSG00000026715	13	15	14	16	14	8	Serpinc1
ENSMUSG00000062949	408	390	343	432	655	232	Atp11c
ENSMUSG00000026712	750	1130	846	829	1220	758	Mrc1
ENSMUSG00000028483	523	573	430	1029	1981	630	Snapc3
ENSMUSG00000021319	156	255	121	185	103	154	Sfrp4
ENSMUSG00000019577	4604	939	2967	511	564	797	Pdk4
ENSMUSG00000002250	2616	1572	1816	1825	3029	2298	Ppard
ENSMUSG00000033335	4819	3360	3321	3795	5894	3709	Dnm2
ENSMUSG00000056091	209	211	190	87	148	129	St3gal5
ENSMUSG00000053054	31	43	33	14	28	15	Adh6a
ENSMUSG00000002257	1113	745	956	665	1250	940	Def6
ENSMUSG00000024164	5057	3051	2974	2540	3622	3992	C3
ENSMUSG00000037112	574	686	488	537	793	495	Sik2
ENSMUSG00000029161	189	215	158	254	289	180	Cgref1
ENSMUSG00000005225	396	420	314	330	533	268	Plekha8
ENSMUSG00000024669	197	127	159	160	267	222	Cd5
ENSMUSG00000093619	1	0	1	1	0	0	4930535L15Rik
ENSMUSG00000072949	1898	1069	1709	978	1553	1237	Acot1
ENSMUSG00000005220	75	111	86	62	110	69	Corin
ENSMUSG00000085338	3	1	3	0	2	1	2410004I01Rik
ENSMUSG00000050022	85	60	82	69	126	119	Amz1
ENSMUSG00000024660	1039	741	961	782	1434	1336	Incenp
ENSMUSG00000074981	7	7	2	0	2	0	Dcdc5
ENSMUSG00000079462	6	14	15	10	3	4	Gm15737
ENSMUSG00000024663	672	576	679	288	498	562	Rab3il1
ENSMUSG00000050029	1858	1558	1367	1500	2543	1350	Rap2c
ENSMUSG00000079465	120	89	83	59	83	70	Col4a3
ENSMUSG00000024666	174	132	133	119	163	166	Tmem138
ENSMUSG00000024667	180	164	152	114	171	128	Tmem216
ENSMUSG00000093536	1	2	0	3	4	2	Smim17
ENSMUSG00000093537	4	0	6	1	0	5	Gm7584
ENSMUSG00000044139	98	76	87	31	57	50	Prss53
ENSMUSG00000032827	111	139	94	109	131	56	Ppp1r9a
ENSMUSG00000032826	788	909	884	451	626	547	Ank2
ENSMUSG00000038453	1150	1058	1126	728	1273	656	Srcin1
ENSMUSG00000038451	484	264	391	218	318	278	Spsb2
ENSMUSG00000038456	407	418	347	136	270	272	Dennd2a
ENSMUSG00000038457	164	111	107	50	76	105	Tmem255b
ENSMUSG00000001098	1177	862	995	895	1318	1152	Kctd10
ENSMUSG00000044041	77292	2606	446	1510	683	601	Krt13
ENSMUSG00000097626	5	2	8	5	5	4	4921504A21Rik
ENSMUSG00000097624	4	4	8	1	1	5	Gm5091
ENSMUSG00000047394	15	15	11	6	7	8	Odf3b
ENSMUSG00000097622	35	42	19	27	53	17	A330033J07Rik
ENSMUSG00000030682	2226	1340	1825	1112	1592	1558	Cdipt
ENSMUSG00000030681	2074	1564	1492	1225	1737	1790	Mvp
ENSMUSG00000010154	207	134	159	164	223	170	Spire2
ENSMUSG00000059013	254	198	200	96	135	173	Sh2d3c
ENSMUSG00000030689	498	357	416	267	475	429	Ino80e
ENSMUSG00000030688	2088	1161	1705	1177	1928	1842	Stard10
ENSMUSG00000036304	84	73	52	58	78	59	Zdhhc23
ENSMUSG00000036306	729	500	578	500	1023	873	Lzts1
ENSMUSG00000072941	1302	827	1228	498	654	1132	Sod3
ENSMUSG00000093277	5	7	1	4	3	1	Gm26236
ENSMUSG00000099560	0	0	0	0	1	0	Mrgprx3-ps
ENSMUSG00000047390	0	0	0	2	0	0	Defb9
ENSMUSG00000033486	98	87	46	65	103	48	Catsper2
ENSMUSG00000033487	1306	1294	1077	1156	1800	955	Fndc3a
ENSMUSG00000022842	259	214	208	181	273	242	Ece2
ENSMUSG00000022843	416	482	327	360	462	242	Clcn2
ENSMUSG00000022840	270	185	241	77	125	185	Adcy5
ENSMUSG00000022841	6755	5535	5546	4774	6736	6291	Ap2m1
ENSMUSG00000091754	19	13	11	26	43	7	Gm3636
ENSMUSG00000041673	13	10	2	9	14	6	Lrrc18
ENSMUSG00000041670	41	43	29	19	22	30	Rims1
ENSMUSG00000041671	115	151	125	263	360	97	Pyroxd1
ENSMUSG00000050796	332	227	305	168	282	263	B3galt6
ENSMUSG00000022849	276	259	223	234	360	249	Hspbap1
ENSMUSG00000041679	43	38	41	49	28	38	Lrrc29
ENSMUSG00000047638	3	1	1	2	1	2	Nr1h4
ENSMUSG00000093289	1	1	1	0	0	1	Snord92
ENSMUSG00000074264	95	80	57	80	103	41	Amy1
ENSMUSG00000049470	4033	3898	3295	5005	7849	3081	Aff4
ENSMUSG00000047631	4	3	8	0	3	1	Apof
ENSMUSG00000047632	136	98	211	71	82	80	Fgfbp3
ENSMUSG00000072772	126	121	109	76	106	64	Grcc10
ENSMUSG00000072774	20	25	23	25	51	14	Zfp951
ENSMUSG00000047636	0	1	1	0	0	2	Cdcp2
ENSMUSG00000030469	111	115	105	232	351	94	Zfp719
ENSMUSG00000116953	160	127	98	120	151	61	9030025P20Rik
ENSMUSG00000040848	3611	3586	2459	3137	4647	3000	Sft2d2
ENSMUSG00000037300	872	936	681	866	1242	734	Ttc13
ENSMUSG00000070570	10	9	13	3	7	6	Slc17a7
ENSMUSG00000030465	781	789	764	987	1157	486	Psd3
ENSMUSG00000021460	637	546	618	366	535	456	Auh
ENSMUSG00000027318	479	750	472	319	424	380	Adam33
ENSMUSG00000027649	597	528	517	511	706	652	Ctnnbl1
ENSMUSG00000021534	10	12	9	4	8	6	1700001L19Rik
ENSMUSG00000027869	193	244	207	84	138	132	Hsd3b6
ENSMUSG00000027868	3796	3215	2434	858	1149	2001	Tbx15
ENSMUSG00000027867	55	58	48	35	84	21	Spag17
ENSMUSG00000027642	5757	4111	4933	4011	5874	5691	Rpn2
ENSMUSG00000070601	3	3	3	5	6	1	Vmn2r84
ENSMUSG00000027864	6120	4846	4255	3893	6250	5502	Ptgfrn
ENSMUSG00000027315	3690	2877	2986	2534	3797	2583	Spint1
ENSMUSG00000027646	1587	957	1223	907	1512	1268	Src
ENSMUSG00000027317	4	9	3	7	5	7	Ppp1r14d
ENSMUSG00000027860	1345	1105	1121	1249	1878	1375	Vangl1
ENSMUSG00000076469	3	3	1	0	4	2	Trbv13-2
ENSMUSG00000119936	0	0	0	0	1	0	Gm26324
ENSMUSG00000041498	234	173	289	318	634	443	Kif14
ENSMUSG00000030847	4247	2344	2847	1516	3299	2758	Bag3
ENSMUSG00000076461	1	0	1	0	4	3	Trbv1
ENSMUSG00000076460	3	0	1	1	1	3	Mir744
ENSMUSG00000076463	0	0	0	0	2	0	Trbv3
ENSMUSG00000076462	0	0	0	0	2	1	Trbv2
ENSMUSG00000076465	1	0	0	1	1	2	Trbv5
ENSMUSG00000076467	0	0	0	0	1	0	Trbv13-1
ENSMUSG00000119938	0	0	0	0	0	1	Gm24861
ENSMUSG00000001988	41	23	19	14	26	10	Npas1
ENSMUSG00000090394	470	457	278	385	511	436	4930523C07Rik
ENSMUSG00000092292	0	0	1	0	1	0	Olfr113
ENSMUSG00000072115	270	193	213	174	247	172	Ang
ENSMUSG00000093806	0	0	1	1	2	0	Asmt
ENSMUSG00000021468	3113	3508	2646	2947	3481	2533	Sptlc1
ENSMUSG00000053093	0	1	1	1	0	0	Myh7
ENSMUSG00000030994	74	80	89	36	63	47	D7Ertd443e
ENSMUSG00000024431	2396	2655	2066	2107	3643	1811	Nr3c1
ENSMUSG00000042918	332	199	234	105	174	169	Mamstr
ENSMUSG00000118881	0	0	0	3	0	0	Gm23421
ENSMUSG00000118734	0	0	0	0	0	1	Gm25313
ENSMUSG00000080759	2	4	6	5	0	2	Gm15573
ENSMUSG00000040811	1496	1077	1157	791	1298	1002	Eml2
ENSMUSG00000118885	1	0	0	2	0	0	Gm22061
ENSMUSG00000051518	338	293	302	249	341	342	Rps19bp1
ENSMUSG00000040812	19	13	20	23	28	20	Agbl2
ENSMUSG00000051517	172	64	135	102	171	108	Arhgef39
ENSMUSG00000030990	2851	2168	2418	1842	2643	2080	Pgap2
ENSMUSG00000040818	820	726	543	649	1001	613	Dennd6a
ENSMUSG00000051510	2706	2175	1901	1894	2687	1888	Mafg
ENSMUSG00000026547	12671	8058	9822	10409	14871	13790	Tagln2
ENSMUSG00000011158	1130	1203	745	905	1316	756	Brf1
ENSMUSG00000096932	7	6	5	2	6	2	5033403F01Rik
ENSMUSG00000096935	32	23	27	10	23	15	1700113A16Rik
ENSMUSG00000096937	0	0	0	1	0	1	Gm10825
ENSMUSG00000024430	51	72	77	81	88	48	Cabyr
ENSMUSG00000063232	20	13	10	23	23	11	Serpina11
ENSMUSG00000096938	3	3	1	3	0	3	9530052E02Rik
ENSMUSG00000062345	1208	1880	916	3311	4215	2141	Serpinb2
ENSMUSG00000063236	523	427	434	291	445	399	1110038F14Rik
ENSMUSG00000064917	5	7	7	10	5	3	Gm22574
ENSMUSG00000063234	6	3	2	2	6	8	Gpr84
ENSMUSG00000064715	0	4	4	1	0	0	Gm24207
ENSMUSG00000027254	950	643	671	160	504	513	Map1a
ENSMUSG00000031229	1847	1984	2027	3493	5646	1218	Atrx
ENSMUSG00000031226	460	467	439	491	661	396	Pbdc1
ENSMUSG00000030629	3663	2928	2733	2485	4089	2073	Zfand6
ENSMUSG00000031224	11	9	11	2	3	8	Magee2
ENSMUSG00000024248	3906	3465	3057	2519	4215	3143	Cox7a2l
ENSMUSG00000031220	1247	634	786	430	597	635	Awat2
ENSMUSG00000031221	1123	1388	956	1175	1929	1012	Igbp1
ENSMUSG00000047094	46	42	30	43	32	30	Ofcc1
ENSMUSG00000054679	28	15	9	13	12	12	Srsf12
ENSMUSG00000097318	31	11	36	11	17	21	1700007L15Rik
ENSMUSG00000073728	26	21	14	14	27	13	Tmem51os1
ENSMUSG00000022986	10000	8379	10019	3964	7159	6058	Krt75
ENSMUSG00000095870	2441	1261	1302	2689	3603	1387	Lce1k
ENSMUSG00000105853	0	0	1	0	0	0	Mir376b
ENSMUSG00000021538	0	0	0	0	1	0	Il9
ENSMUSG00000095700	0	0	1	0	0	0	Ighv10-3
ENSMUSG00000085175	36	31	37	28	39	26	Gm11423
ENSMUSG00000040728	9351	7467	7003	8115	12161	7649	Esrp1
ENSMUSG00000085171	18	22	13	16	14	2	D830026I12Rik
ENSMUSG00000063564	907	776	728	575	882	876	Col23a1
ENSMUSG00000040723	1154	848	781	323	492	655	Rcsd1
ENSMUSG00000040722	311	243	245	114	168	180	Scamp5
ENSMUSG00000040721	480	324	340	252	497	248	Zfhx2
ENSMUSG00000070419	163	174	158	31	161	11	Cyp3a57
ENSMUSG00000040726	0	0	1	0	0	1	Hesx1
ENSMUSG00000040725	6071	4017	4632	2995	5076	4415	Hnrnpul1
ENSMUSG00000022982	2944	2031	2193	1386	2500	2298	Sod1
ENSMUSG00000046949	205	210	174	166	244	171	Nqo2
ENSMUSG00000061983	24323	17340	19745	18006	24574	20622	Rps12
ENSMUSG00000061981	1754	1182	1310	550	997	982	Flot2
ENSMUSG00000039419	11	13	11	2	12	12	Cntnap2
ENSMUSG00000048701	2314	1662	1576	1294	2144	1710	Ccdc6
ENSMUSG00000039414	641	716	655	628	996	726	Heatr5b
ENSMUSG00000048703	1	0	0	0	1	0	Speer4b
ENSMUSG00000046942	1	0	2	2	0	0	Mageb16
ENSMUSG00000039410	219	109	140	151	274	206	Prdm16
ENSMUSG00000048707	618	449	434	235	494	411	Tprn
ENSMUSG00000048706	749	579	576	366	481	354	Lurap1l
ENSMUSG00000021010	6	3	5	2	4	2	Npas3
ENSMUSG00000073643	317	348	192	279	393	167	Wdfy1
ENSMUSG00000043391	929	720	635	418	773	581	2510009E07Rik
ENSMUSG00000021013	246	265	198	207	302	223	Ttc8
ENSMUSG00000065603	1	0	1	0	0	0	Mir218-1
ENSMUSG00000027379	111	94	188	251	505	161	Bub1
ENSMUSG00000021018	457	365	396	308	396	385	Polr2h
ENSMUSG00000074619	4	5	7	2	0	4	1700034I23Rik
ENSMUSG00000052155	1149	1171	999	1228	1993	807	Acvr2a
ENSMUSG00000043398	11	19	9	11	15	5	Gpr135
ENSMUSG00000080425	1	0	0	0	0	1	Gm24833
ENSMUSG00000056350	6961	4988	7220	1660	4307	3975	Krtap13-1
ENSMUSG00000084558	0	0	0	0	1	0	Gm24836
ENSMUSG00000020897	643	426	613	351	682	616	Aurkb
ENSMUSG00000089308	2	6	7	4	1	5	Gm24837
ENSMUSG00000039197	600	909	683	825	1149	671	Adk
ENSMUSG00000047898	70	75	73	39	56	43	Ccr4
ENSMUSG00000107108	0	1	0	0	0	0	Gm9936
ENSMUSG00000027376	6222	4091	4354	3984	5545	3949	Prom2
ENSMUSG00000047894	17	11	6	3	12	6	Ang2
ENSMUSG00000043789	5	2	2	2	5	3	Vwce
ENSMUSG00000084552	4	3	2	6	1	3	Gm24840
ENSMUSG00000089874	1	0	0	0	0	0	9230117E06Rik
ENSMUSG00000027257	2810	1821	1937	1214	1839	1584	Pacsin3
ENSMUSG00000089876	561	320	497	284	395	371	Tmem102
ENSMUSG00000069379	1	0	0	0	0	0	Gm4950
ENSMUSG00000057322	5549	3470	5182	3333	4709	4776	Rpl38
ENSMUSG00000027374	1037	779	859	620	900	862	Mrps5
ENSMUSG00000027350	10	7	13	7	9	6	Chgb
ENSMUSG00000057329	443	406	292	228	243	263	Bcl2
ENSMUSG00000069372	90	36	39	19	48	31	Ctxn3
ENSMUSG00000049672	655	666	456	422	579	487	Zbtb14
ENSMUSG00000062184	84	86	64	53	104	58	Hs6st2
ENSMUSG00000034768	858	385	527	154	261	383	Asb16
ENSMUSG00000025257	13	16	17	24	30	15	Ribc1
ENSMUSG00000047434	738	531	636	422	629	694	Xxylt1
ENSMUSG00000025255	266	262	370	203	285	171	Zfhx4
ENSMUSG00000051864	1119	774	972	692	965	812	Tbc1d22a
ENSMUSG00000052372	2	1	0	0	1	0	Il1rapl1
ENSMUSG00000020376	1205	865	875	524	963	726	Rnf130
ENSMUSG00000034761	1259	1519	1081	2034	2770	1258	Map4k5
ENSMUSG00000034762	94	54	73	406	632	400	Glis1
ENSMUSG00000043831	629	361	429	353	539	410	Lysmd4
ENSMUSG00000082686	5	4	9	6	1	1	Gm12961
ENSMUSG00000034765	878	558	700	746	993	620	Dusp5
ENSMUSG00000082684	4	2	4	2	1	3	Gm12774
ENSMUSG00000096401	164	280	147	271	391	102	Gm21811
ENSMUSG00000061576	15	10	9	11	8	16	Dpp6
ENSMUSG00000051790	1651	1406	1293	758	1295	836	Nlgn2
ENSMUSG00000039198	3	3	2	0	3	0	Ptchd3
ENSMUSG00000016831	2466	1779	1805	1475	2370	1877	Tox4
ENSMUSG00000061578	10	3	9	7	4	3	Ksr2
ENSMUSG00000081810	0	0	1	1	1	0	Gm11878
ENSMUSG00000039210	509	456	457	502	735	426	Gpatch2
ENSMUSG00000050808	769	768	655	736	1313	520	Muc15
ENSMUSG00000029577	5063	3177	3500	2313	4226	3302	Ube3b
ENSMUSG00000029576	255	172	239	98	166	132	Radil
ENSMUSG00000065401	1	1	0	0	0	0	Mir144
ENSMUSG00000065400	5	1	4	5	2	0	Mir200a
ENSMUSG00000049988	90	83	96	49	78	87	Lrrc25
ENSMUSG00000060166	1651	1169	1352	657	1127	1063	Zdhhc8
ENSMUSG00000065405	0	2	1	0	0	1	Mir30a
ENSMUSG00000029570	1348	916	1183	456	1054	747	Lfng
ENSMUSG00000016386	57	53	52	30	33	36	Mpped2
ENSMUSG00000021947	492	425	506	247	357	359	Cryl1
ENSMUSG00000023942	1589	1430	1467	674	1078	1172	Slc29a1
ENSMUSG00000065408	21	16	12	23	19	8	Mir31
ENSMUSG00000016382	2992	3578	3111	8061	11624	3829	Pls3
ENSMUSG00000023945	42	141	57	22	65	20	Slc5a7
ENSMUSG00000029578	3284	2676	2284	2989	4399	2500	Wipi2
ENSMUSG00000045948	684	404	672	343	505	548	Mrps12
ENSMUSG00000086266	9	5	7	1	1	3	Igf2os
ENSMUSG00000081087	4	3	3	3	1	4	Rps15a-ps7
ENSMUSG00000069515	837	828	802	293	650	621	Lyz1
ENSMUSG00000038047	275	322	238	450	613	197	Haus6
ENSMUSG00000096950	30	22	33	35	57	25	Gm9530
ENSMUSG00000084034	0	0	0	3	1	1	Gm12617
ENSMUSG00000045942	7	9	12	5	6	8	BC049762
ENSMUSG00000058656	8	8	5	40	54	29	Samd12
ENSMUSG00000062981	1005	846	711	789	1114	648	Mrpl42
ENSMUSG00000028999	582	558	444	602	757	464	Rint1
ENSMUSG00000085795	4404	2720	3044	1318	2615	2345	Zfp703
ENSMUSG00000085794	0	0	1	0	1	0	Vax2os
ENSMUSG00000036944	46	40	30	22	39	31	Tmem71
ENSMUSG00000091119	31	62	34	26	39	18	Ccdc152
ENSMUSG00000028992	170	174	129	105	142	142	Nmnat1
ENSMUSG00000091117	4	4	10	4	0	2	Gm9064
ENSMUSG00000028990	514	442	402	326	427	463	Lzic
ENSMUSG00000028991	2138	1895	1807	1410	2359	1724	Mtor
ENSMUSG00000028996	87	38	36	109	107	81	Rbp7
ENSMUSG00000061451	81	63	73	18	51	41	Tmem151a
ENSMUSG00000037904	630	423	449	351	469	395	Ankrd9
ENSMUSG00000028607	1304	1022	1108	750	1219	1113	Cpt2
ENSMUSG00000025487	2534	2532	2136	2273	3275	2598	Psmd13
ENSMUSG00000083798	10	7	12	17	23	6	Gm14584
ENSMUSG00000046768	1211	704	1061	400	717	822	Rhoj
ENSMUSG00000028194	98	77	88	49	76	70	Ddah1
ENSMUSG00000025486	350	292	271	132	205	226	Sirt3
ENSMUSG00000046764	1	0	0	0	0	0	A530053G22Rik
ENSMUSG00000092210	21	13	21	10	2	7	A930009A15Rik
ENSMUSG00000028199	265	206	239	176	269	238	Cryz
ENSMUSG00000046761	6507	3911	4659	3825	6697	5270	Fam83h
ENSMUSG00000062342	0	2	0	0	0	0	Serpinb9e
ENSMUSG00000080814	0	0	1	0	0	0	Gm12314
ENSMUSG00000093846	2	2	2	1	1	2	Gm4425
ENSMUSG00000020375	879	961	792	883	1341	817	Rufy1
ENSMUSG00000082458	0	0	0	1	0	0	Gm9430
ENSMUSG00000065663	29	24	26	37	37	16	Gm22579
ENSMUSG00000039747	1238	818	997	606	1007	866	Orai2
ENSMUSG00000051732	0	0	1	1	0	0	Pabpc2
ENSMUSG00000054400	113	112	121	70	127	82	Cklf
ENSMUSG00000065669	2	3	5	8	6	4	Gm22581
ENSMUSG00000083907	34	31	32	31	30	17	Plk-ps1
