ENSG	WT1	WT2	WT3	KO1	KO2	KO3	Symbol
ENSMUSG00000001891	3383	2867	2173	1739	3029	1917	Ugp2
ENSMUSG00000088212	0	1	0	0	0	0	Gm22082
ENSMUSG00000040264	3	2	0	4	6	1	Gbp2b
ENSMUSG00000025961	7	4	6	5	4	2	4933402D24Rik
ENSMUSG00000035133	1056	1024	1058	1702	2367	638	Arhgap5
ENSMUSG00000020309	227	151	161	138	249	155	Chac2
ENSMUSG00000020982	634	719	802	1417	2385	529	Nemf
ENSMUSG00000020986	799	904	768	775	1180	755	Sec23a
ENSMUSG00000039656	1855	1243	1506	968	1571	1259	Rxrb
ENSMUSG00000039653	0	1	1	0	0	0	Baat
ENSMUSG00000039652	577	403	377	256	387	322	Cpeb3
ENSMUSG00000033684	7171	5203	5539	3810	5289	3805	Qsox1
ENSMUSG00000033685	23756	16293	18300	9921	17349	14036	Ucp2
ENSMUSG00000024534	180	177	147	93	159	126	Sncaip
ENSMUSG00000024535	269	204	196	145	201	172	Snx24
ENSMUSG00000024537	525	452	445	374	517	503	Psmg2
ENSMUSG00000055210	56	27	35	18	37	35	Foxd2
ENSMUSG00000028343	1652	1224	1230	1174	1802	1294	Erp44
ENSMUSG00000024533	1268	1142	864	1304	1837	887	Spire1
ENSMUSG00000024538	1255	1375	1249	831	1221	1240	Ppic
ENSMUSG00000065990	1395	887	1326	866	1162	1211	Aurkaip1
ENSMUSG00000031594	1	5	1	2	4	4	Fgl1
ENSMUSG00000033628	695	711	707	719	1066	725	Pik3c3
ENSMUSG00000023328	814	562	658	367	690	522	Ache
ENSMUSG00000026209	1624	1148	1425	868	1229	1204	Dnpep
ENSMUSG00000032336	3401	3602	2960	2973	4235	3283	Nptn
ENSMUSG00000030881	1325	1181	1061	1024	1423	998	Arfip2
ENSMUSG00000032308	1122	985	795	868	1206	704	Ulk3
ENSMUSG00000026202	11288	8646	9071	9845	14632	11619	Tuba4a
ENSMUSG00000030882	57	89	41	76	78	38	Dnhd1
ENSMUSG00000071716	2	2	0	5	5	2	Apol7e
ENSMUSG00000026205	293	234	268	138	241	181	Slc23a3
ENSMUSG00000026754	726	940	749	1339	1856	650	Golga1
ENSMUSG00000026207	2074	1343	1368	434	1023	1023	Speg
ENSMUSG00000067224	3	3	8	5	5	0	Gm3695
ENSMUSG00000097170	10	18	16	21	17	7	Gm16982
ENSMUSG00000097171	2	5	7	8	12	4	Gm17644
ENSMUSG00000054920	738	577	644	348	625	534	Klhl5
ENSMUSG00000042451	1740	986	925	242	499	573	Mybph
ENSMUSG00000030087	470	345	361	166	312	276	Klf15
ENSMUSG00000030086	225	189	210	168	235	253	Chchd6
ENSMUSG00000030089	890	320	718	134	325	502	Slc41a3
ENSMUSG00000030088	342	194	233	182	324	255	Aldh1l1
ENSMUSG00000059741	0	0	3	1	0	1	Myl3
ENSMUSG00000043850	2	2	0	0	0	0	Clrn1
ENSMUSG00000049488	116	126	94	149	187	111	Tmem67
ENSMUSG00000056749	1038	813	820	344	608	664	Nfil3
ENSMUSG00000048058	1864	1292	1284	590	1081	864	Ldlrad3
ENSMUSG00000073409	443	214	178	488	1338	700	H2-Q6
ENSMUSG00000064653	2	5	2	1	1	1	Gm26129
ENSMUSG00000073405	43	19	45	27	56	68	C920025E04Rik
ENSMUSG00000073406	11	8	6	6	11	6	H2-Bl
ENSMUSG00000073407	2	1	1	3	4	3	Gm6034
ENSMUSG00000073400	0	0	0	0	1	0	Trim10
ENSMUSG00000073402	14	11	9	5	12	10	Gm8909
ENSMUSG00000031428	33	27	30	16	41	17	Zcchc18
ENSMUSG00000041343	59	86	71	71	129	75	Ankrd42
ENSMUSG00000031938	211	256	189	201	270	220	4931406C07Rik
ENSMUSG00000041341	1549	1548	1440	1714	2455	1540	Atg2b
ENSMUSG00000041346	385	291	262	227	315	314	Wrap53
ENSMUSG00000041347	44	27	37	10	17	13	Bdkrb1
ENSMUSG00000041836	692	641	563	475	441	487	Ptpre
ENSMUSG00000041837	613	385	395	318	442	369	Pdcd7
ENSMUSG00000031932	2	0	1	2	1	0	Gpr83
ENSMUSG00000031930	1843	1625	1534	1378	2022	1487	Wwp2
ENSMUSG00000031931	311	396	250	501	791	363	Ankrd49
ENSMUSG00000031936	1396	1765	1491	967	1836	1103	Hephl1
ENSMUSG00000033033	575	371	484	242	384	375	Calhm2
ENSMUSG00000031934	457	405	432	308	522	418	Panx1
ENSMUSG00000031935	694	766	543	791	1103	765	Med17
ENSMUSG00000086225	0	0	0	0	0	1	Gm8661
ENSMUSG00000060924	50	51	50	48	47	58	Csmd1
ENSMUSG00000038650	5423	4721	4517	4819	6506	5373	Rnh1
